input,output,selected_items
"[12, 12, 2, 2, 3, 1, 2, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 2, 0, 5, 0, 7, 0, 8, 0, 0, 0]","['Lamp', 'Chair', 'Dresser', 'Bookshelf', 'Table']"
"[11, 10, 2, 3, 2, 3, 2, 2, 3, 1, 3, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 0, 9, 0, 0]","['Bookshelf', 'Bed', 'TV Stand', 'Wardrobe', 'Sofa']"
"[8, 9, 3, 2, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0, 0]","['Desk', 'Sofa', 'Chair', 'Table']"
"[12, 12, 2, 3, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0]","['Chair', 'TV Stand', 'Sofa']"
"[10, 9, 2, 3, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Lamp', 'Wardrobe', 'Bed']"
"[11, 9, 2, 2, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0]","['Dresser', 'Wardrobe', 'Desk']"
"[10, 10, 3, 2, 2, 2, 2, 2, 3, 1, 2, 1, 1, 1]","[0, 0, 3, 0, 5, 0, 7, 0, 7, 1, 9, 1]","['Sofa', 'Lamp', 'TV Stand', 'Wardrobe', 'Table', 'Desk']"
"[11, 12, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Table', 'Chair']"
"[8, 11, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 5, 1, 0, 0]","['Wardrobe', 'Lamp', 'Desk', 'Chair', 'Sofa']"
"[8, 12, 3, 2, 3, 1, 2, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['Dresser', 'TV Stand', 'Bed']"
"[12, 12, 2, 3, 2, 3, 2, 2, 1, 3, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 0, 0, 0, 0]","['Table', 'Bed', 'TV Stand', 'Sofa']"
"[12, 8, 2, 3, 2, 3, 2, 2, 1, 2, 1, 1, 1, 1]","[0, 0, 0, 3, 0, 6, 2, 0, 2, 2, 2, 3]","['Sofa', 'Lamp', 'Table', 'Bed', 'Chair', 'Dresser']"
"[12, 12, 3, 2, 2, 2, 3, 1, 3, 1, 1, 2, 1, 1]","[0, 0, 3, 0, 5, 0, 8, 0, 11, 0, 5, 1]","['Bookshelf', 'Desk', 'Sofa', 'TV Stand', 'Lamp', 'Table']"
"[10, 11, 3, 2, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 6, 0, 0, 0, 0, 0]","['Dresser', 'Lamp', 'Chair', 'Bed']"
"[12, 12, 2, 3, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Dresser', 'Sofa', 'Chair']"
"[8, 10, 3, 2, 2, 2, 2, 2, 1, 2, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0, 0]","['Wardrobe', 'Sofa', 'Dresser', 'Table']"
"[8, 9, 3, 2, 2, 2, 2, 2, 1, 3, 1, 3, 1, 1]","[0, 0, 3, 0, 5, 0, 7, 0, 0, 3, 0, 2]","['Lamp', 'TV Stand', 'Table', 'Bookshelf', 'Wardrobe', 'Bed']"
"[11, 11, 2, 2, 3, 1, 2, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 2, 0, 5, 0, 7, 0, 9, 0, 0, 0]","['Chair', 'TV Stand', 'Table', 'Desk', 'Dresser']"
"[8, 10, 2, 2, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 2, 0, 4, 0, 6, 0, 0, 0, 0, 0]","['Chair', 'Table', 'Desk', 'Wardrobe']"
"[9, 12, 3, 2, 2, 2, 3, 1, 1, 2, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 8, 0, 0, 0, 0, 0]","['TV Stand', 'Table', 'Dresser', 'Sofa']"
"[9, 8, 2, 3, 2, 2, 1, 3, 1, 2, 1, 1, 1, 1]","[0, 0, 0, 3, 0, 5, 1, 5, 1, 7, 2, 0]","['Bookshelf', 'Table', 'Bed', 'Desk', 'Chair', 'Lamp']"
"[11, 9, 2, 3, 2, 2, 2, 2, 1, 2, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 1, 7, 0, 0]","['Lamp', 'Table', 'Desk', 'Wardrobe', 'Sofa']"
"[12, 9, 2, 3, 2, 3, 1, 3, 1, 2, 2, 1, 1, 1]","[0, 0, 0, 3, 0, 6, 1, 6, 1, 8, 2, 0]","['Chair', 'Bed', 'Desk', 'Dresser', 'TV Stand', 'Sofa']"
"[12, 9, 2, 3, 2, 2, 1, 3, 2, 1, 1, 2, 1, 1]","[0, 0, 0, 3, 0, 5, 0, 8, 1, 5, 1, 7]","['Dresser', 'Bookshelf', 'Bed', 'Desk', 'Lamp', 'Table']"
"[10, 8, 2, 3, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Desk', 'Lamp', 'Bed']"
"[12, 10, 2, 3, 2, 2, 1, 2, 1, 2, 1, 1, 1, 1]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 9, 1, 5]","['Wardrobe', 'Chair', 'Sofa', 'Dresser', 'Desk', 'Lamp']"
"[12, 10, 2, 3, 2, 2, 2, 2, 1, 3, 1, 3, 1, 1]","[0, 0, 0, 3, 0, 5, 0, 7, 1, 7, 2, 0]","['Table', 'Sofa', 'Wardrobe', 'Lamp', 'Bookshelf', 'TV Stand']"
"[12, 9, 2, 2, 2, 2, 1, 3, 3, 1, 2, 1, 2, 1]","[0, 0, 0, 2, 0, 4, 0, 7, 0, 8, 2, 8]","['TV Stand', 'Table', 'Wardrobe', 'Dresser', 'Desk', 'Bookshelf']"
"[11, 8, 2, 3, 2, 2, 1, 3, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Sofa', 'Wardrobe', 'Bookshelf']"
"[10, 8, 2, 3, 2, 2, 1, 3, 1, 2, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 5, 1, 5, 1, 7, 0, 0]","['TV Stand', 'Table', 'Dresser', 'Chair', 'Bed']"
"[11, 9, 1, 3, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Lamp', 'Desk', 'Bookshelf']"
"[9, 12, 3, 1, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Lamp', 'TV Stand', 'Desk']"
"[12, 12, 3, 2, 3, 1, 2, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['Bed', 'TV Stand', 'Desk']"
"[8, 8, 2, 3, 2, 2, 1, 3, 1, 2, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 5, 1, 5, 1, 7, 0, 0]","['Bed', 'TV Stand', 'Chair', 'Table', 'Dresser']"
"[12, 11, 2, 3, 1, 3, 1, 3, 1, 2, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 9, 0, 0, 0, 0]","['Bookshelf', 'Bed', 'Desk', 'TV Stand']"
"[9, 9, 2, 3, 1, 3, 1, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 0, 0, 0, 0]","['Bookshelf', 'Lamp', 'Dresser', 'Bed']"
"[12, 10, 2, 3, 2, 2, 1, 3, 1, 2, 1, 2, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 8, 1, 5, 0, 0]","['Dresser', 'Bed', 'Bookshelf', 'Desk', 'Table']"
"[8, 8, 2, 3, 2, 2, 1, 2, 2, 1, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 1, 5, 0, 0]","['Wardrobe', 'Dresser', 'Sofa', 'Lamp', 'Desk']"
"[10, 11, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Lamp', 'Dresser']"
"[11, 9, 2, 3, 1, 3, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0]","['Bookshelf', 'Sofa', 'Dresser']"
"[9, 10, 3, 2, 2, 2, 3, 1, 1, 2, 2, 1, 1, 1]","[0, 0, 3, 0, 5, 0, 8, 0, 5, 1, 7, 1]","['Desk', 'Sofa', 'Bookshelf', 'Table', 'Lamp', 'Dresser']"
"[12, 10, 2, 3, 2, 3, 2, 2, 2, 2, 3, 1, 1, 1]","[0, 0, 0, 3, 0, 6, 0, 8, 2, 0, 5, 0]","['Sofa', 'Bed', 'TV Stand', 'Chair', 'Table', 'Wardrobe']"
"[9, 12, 3, 1, 3, 1, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 8, 0, 0, 0, 0, 0]","['Desk', 'Bookshelf', 'Lamp', 'TV Stand']"
"[11, 10, 1, 3, 1, 3, 1, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 0, 0, 0, 0]","['Chair', 'TV Stand', 'Bookshelf', 'Desk']"
"[9, 12, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1]","[0, 0, 2, 0, 4, 0, 6, 0, 8, 0, 4, 1]","['Lamp', 'Desk', 'Table', 'Dresser', 'Chair', 'Wardrobe']"
"[12, 11, 1, 3, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Dresser', 'Chair']"
"[10, 12, 2, 2, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Bookshelf', 'Chair', 'Table']"
"[8, 9, 3, 2, 2, 2, 3, 1, 2, 1, 1, 1, 1, 1]","[0, 0, 3, 0, 5, 0, 5, 1, 7, 1, 0, 2]","['Wardrobe', 'Lamp', 'Sofa', 'TV Stand', 'Chair', 'Desk']"
"[12, 8, 2, 2, 1, 2, 1, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 4, 0, 6, 0, 0, 0, 0]","['Desk', 'Wardrobe', 'Chair', 'Dresser']"
"[9, 8, 2, 3, 2, 2, 1, 3, 1, 2, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 1, 5, 0, 0, 0, 0]","['Sofa', 'Dresser', 'TV Stand', 'Table']"
"[10, 8, 2, 3, 2, 2, 1, 2, 2, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0]","['Dresser', 'Wardrobe', 'Bed', 'Desk']"
"[10, 10, 2, 2, 1, 3, 1, 3, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Bookshelf', 'Wardrobe']"
"[10, 12, 3, 2, 3, 1, 2, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Sofa', 'Desk']"
"[8, 8, 3, 2, 2, 2, 3, 1, 3, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 5, 1, 0, 0, 0, 0]","['Bookshelf', 'Sofa', 'TV Stand', 'Wardrobe']"
"[11, 9, 2, 3, 1, 3, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0]","['Bookshelf', 'Desk', 'Bed']"
"[8, 11, 3, 2, 3, 2, 2, 2, 3, 1, 2, 1, 1, 1]","[0, 0, 3, 0, 6, 0, 0, 2, 3, 2, 5, 2]","['Bed', 'Lamp', 'Sofa', 'Wardrobe', 'Dresser', 'Bookshelf']"
"[8, 10, 2, 2, 2, 2, 3, 1, 1, 2, 2, 1, 0, 0]","[0, 0, 2, 0, 4, 0, 7, 0, 4, 1, 0, 0]","['Desk', 'Bookshelf', 'Table', 'Wardrobe', 'Dresser']"
"[12, 10, 2, 3, 2, 2, 1, 3, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 8, 0, 0, 0, 0]","['Lamp', 'Sofa', 'Table', 'TV Stand']"
"[10, 8, 2, 3, 2, 3, 3, 1, 2, 1, 2, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 7, 2, 7, 0, 0]","['Sofa', 'Bookshelf', 'Desk', 'Dresser', 'Bed']"
"[8, 9, 3, 2, 3, 2, 2, 2, 1, 3, 1, 3, 2, 1]","[0, 0, 3, 0, 6, 0, 0, 2, 0, 5, 0, 8]","['Bed', 'TV Stand', 'Wardrobe', 'Sofa', 'Bookshelf', 'Desk']"
"[8, 12, 3, 2, 2, 2, 3, 1, 2, 1, 1, 1, 1, 1]","[0, 0, 3, 0, 5, 0, 5, 1, 7, 1, 0, 2]","['Table', 'Bookshelf', 'Desk', 'Sofa', 'Lamp', 'Chair']"
"[9, 11, 3, 2, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['Bed', 'Bookshelf', 'Chair']"
"[11, 12, 2, 2, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 2, 0, 4, 0, 5, 0, 0, 0, 0, 0]","['Chair', 'Dresser', 'Wardrobe', 'Lamp']"
"[9, 10, 3, 2, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['Lamp', 'Sofa', 'Bed']"
"[8, 9, 3, 2, 2, 1, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0, 0]","['Lamp', 'Desk', 'Dresser', 'Sofa']"
"[12, 9, 2, 3, 1, 2, 1, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0]","['Bed', 'Dresser', 'Chair', 'Desk']"
"[10, 12, 3, 2, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['Lamp', 'Sofa', 'TV Stand']"
"[12, 12, 2, 2, 1, 3, 1, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 5, 0, 7, 0, 0, 0, 0]","['Chair', 'Table', 'Bookshelf', 'Desk']"
"[10, 11, 3, 2, 3, 2, 2, 2, 1, 3, 1, 2, 1, 1]","[0, 0, 3, 0, 6, 0, 8, 0, 9, 0, 9, 2]","['Wardrobe', 'Bookshelf', 'Dresser', 'Sofa', 'Lamp', 'Bed']"
"[8, 12, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Dresser', 'Chair']"
"[8, 8, 2, 2, 2, 2, 3, 1, 1, 2, 1, 1, 1, 1]","[0, 0, 2, 0, 4, 0, 7, 0, 4, 1, 5, 1]","['Bookshelf', 'Dresser', 'Table', 'Lamp', 'Wardrobe', 'Chair']"
"[9, 12, 2, 2, 2, 2, 3, 1, 1, 3, 1, 1, 0, 0]","[0, 0, 2, 0, 4, 0, 7, 0, 8, 0, 0, 0]","['Bookshelf', 'Table', 'Lamp', 'TV Stand', 'Wardrobe']"
"[12, 10, 2, 3, 2, 3, 1, 3, 2, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 9, 0, 0, 0, 0]","['Sofa', 'Bookshelf', 'Bed', 'Desk']"
"[11, 11, 3, 2, 2, 2, 3, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 3, 0, 5, 0, 8, 0, 10, 0, 0, 0]","['Table', 'Lamp', 'Desk', 'TV Stand', 'Sofa']"
"[9, 12, 3, 2, 3, 2, 3, 1, 3, 1, 2, 1, 1, 1]","[0, 0, 3, 0, 6, 0, 6, 1, 0, 2, 2, 2]","['Bed', 'Bookshelf', 'Chair', 'Desk', 'TV Stand', 'Sofa']"
"[10, 11, 3, 2, 3, 1, 2, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['Bookshelf', 'Desk', 'Bed']"
"[10, 8, 2, 3, 2, 2, 2, 2, 2, 1, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 2, 0, 0, 0]","['Dresser', 'Lamp', 'Wardrobe', 'Sofa', 'Table']"
"[9, 12, 3, 2, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 6, 0, 0, 0, 0, 0]","['Chair', 'Sofa', 'Desk', 'Lamp']"
"[8, 12, 3, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1]","[0, 0, 3, 0, 5, 0, 7, 0, 0, 2, 1, 2]","['Table', 'Wardrobe', 'Lamp', 'Chair', 'Dresser', 'Sofa']"
"[8, 8, 3, 1, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Bookshelf', 'Chair']"
"[11, 11, 2, 3, 2, 2, 1, 2, 1, 2, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 9, 0, 0]","['Dresser', 'Bed', 'Chair', 'Desk', 'Wardrobe']"
"[11, 12, 2, 2, 3, 1, 3, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 2, 0, 5, 0, 8, 0, 9, 0, 0, 0]","['Chair', 'TV Stand', 'Lamp', 'Wardrobe', 'Bookshelf']"
"[12, 11, 2, 3, 2, 3, 1, 3, 1, 2, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 9, 1, 6, 0, 0]","['Sofa', 'Desk', 'Lamp', 'Bed', 'Bookshelf']"
"[9, 12, 3, 2, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0, 0]","['Sofa', 'Desk', 'Wardrobe', 'Table']"
"[12, 9, 2, 2, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Bookshelf', 'Lamp']"
"[8, 11, 2, 2, 3, 1, 2, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Dresser', 'TV Stand']"
"[10, 12, 3, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Bed', 'Lamp']"
"[8, 10, 3, 2, 3, 2, 2, 2, 2, 2, 2, 1, 2, 1]","[0, 0, 3, 0, 6, 0, 0, 2, 2, 2, 4, 2]","['Dresser', 'Sofa', 'Desk', 'Bed', 'Wardrobe', 'Table']"
"[8, 12, 3, 2, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Lamp', 'Sofa']"
"[9, 9, 2, 3, 1, 3, 1, 3, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 1, 3, 1, 4, 0, 0]","['Bed', 'TV Stand', 'Bookshelf', 'Lamp', 'Chair']"
"[12, 12, 2, 3, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 9, 0, 10]","['Sofa', 'Lamp', 'Dresser', 'Wardrobe', 'Table', 'Chair']"
"[8, 10, 3, 2, 2, 2, 3, 1, 3, 1, 1, 2, 1, 2]","[0, 0, 3, 0, 5, 0, 5, 1, 0, 2, 0, 4]","['Bookshelf', 'Table', 'Desk', 'Bed', 'TV Stand', 'Dresser']"
"[9, 11, 3, 2, 2, 2, 2, 2, 1, 3, 1, 1, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 8, 0, 0, 0]","['Bed', 'Chair', 'Table', 'Bookshelf', 'Wardrobe']"
"[9, 8, 1, 3, 1, 2, 1, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0]","['Bookshelf', 'Lamp', 'Dresser', 'Desk']"
"[9, 10, 3, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Table', 'Wardrobe', 'Sofa']"
"[11, 12, 3, 2, 2, 2, 3, 1, 2, 1, 1, 1, 1, 1]","[0, 0, 3, 0, 5, 0, 8, 0, 10, 0, 5, 1]","['Chair', 'Bookshelf', 'Sofa', 'Table', 'Lamp', 'Desk']"
"[10, 9, 2, 3, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1]","[0, 0, 0, 3, 0, 5, 0, 7, 1, 7, 1, 8]","['Lamp', 'Wardrobe', 'Chair', 'Table', 'Sofa', 'Desk']"
"[12, 12, 2, 3, 2, 3, 2, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Sofa', 'Bed']"
"[9, 12, 3, 2, 2, 2, 2, 2, 1, 3, 1, 3, 2, 1]","[0, 0, 3, 0, 5, 0, 7, 0, 8, 0, 0, 2]","['Wardrobe', 'Bookshelf', 'Table', 'Desk', 'Bed', 'TV Stand']"
"[8, 8, 1, 3, 1, 2, 1, 2, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 1, 0, 0, 0]","['Desk', 'Dresser', 'Lamp', 'Chair', 'Bookshelf']"
