input,output,selected_items
"[9, 11, 3, 2, 3, 1, 3, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 3, 0, 6, 0, 3, 1, 5, 1, 0, 0]","['Bookshelf', 'TV Stand', 'Bed', 'Lamp', 'Desk']"
"[9, 8, 2, 3, 2, 2, 1, 3, 1, 3, 2, 1, 2, 1]","[0, 0, 0, 3, 0, 5, 1, 5, 2, 0, 4, 0]","['Desk', 'Bed', 'Wardrobe', 'Bookshelf', 'TV Stand', 'Dresser']"
"[12, 9, 2, 3, 2, 3, 2, 2, 3, 1, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 2, 0, 0, 0]","['Bed', 'Table', 'Bookshelf', 'Sofa', 'Lamp']"
"[11, 10, 2, 3, 1, 3, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0]","['Sofa', 'Dresser', 'TV Stand']"
"[8, 8, 2, 2, 1, 3, 1, 3, 2, 1, 1, 1, 0, 0]","[0, 0, 0, 2, 0, 5, 2, 0, 4, 0, 0, 0]","['Lamp', 'Wardrobe', 'Bookshelf', 'TV Stand', 'Desk']"
"[9, 9, 2, 3, 2, 2, 1, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0]","['Table', 'Chair', 'Desk', 'Sofa']"
"[8, 12, 3, 2, 2, 2, 3, 1, 2, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 5, 1, 0, 0, 0, 0]","['Desk', 'Sofa', 'Table', 'TV Stand']"
"[10, 12, 3, 2, 2, 2, 3, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Sofa', 'Wardrobe']"
"[8, 12, 3, 2, 2, 2, 3, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 5, 1, 0, 0, 0, 0]","['Chair', 'Bookshelf', 'Wardrobe', 'Sofa']"
"[8, 8, 2, 3, 2, 2, 1, 3, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 1, 5, 0, 0, 0, 0]","['Bookshelf', 'Lamp', 'Bed', 'Wardrobe']"
"[8, 11, 3, 2, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0, 0]","['Bed', 'Dresser', 'Wardrobe', 'Chair']"
"[8, 10, 3, 2, 2, 2, 3, 1, 3, 1, 1, 2, 1, 1]","[0, 0, 3, 0, 5, 0, 5, 1, 0, 2, 0, 4]","['Chair', 'TV Stand', 'Table', 'Bookshelf', 'Desk', 'Sofa']"
"[10, 9, 2, 3, 1, 3, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0]","['Bed', 'Bookshelf', 'Dresser']"
"[9, 12, 3, 2, 3, 2, 2, 2, 1, 3, 2, 1, 2, 1]","[0, 0, 3, 0, 6, 0, 8, 0, 0, 2, 2, 2]","['Table', 'Dresser', 'TV Stand', 'Bed', 'Desk', 'Sofa']"
"[11, 11, 3, 2, 3, 1, 2, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 3, 0, 6, 0, 8, 0, 9, 0, 0, 0]","['Chair', 'Bed', 'Desk', 'Lamp', 'Bookshelf']"
"[8, 9, 3, 2, 2, 2, 2, 2, 1, 2, 1, 1, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 0, 2, 0, 0]","['Wardrobe', 'Table', 'Sofa', 'Chair', 'Dresser']"
"[12, 11, 2, 3, 2, 2, 2, 2, 1, 3, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0]","['Bed', 'Table', 'Wardrobe', 'TV Stand']"
"[11, 12, 3, 2, 3, 1, 3, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Bed', 'Bookshelf']"
"[12, 10, 2, 2, 1, 3, 1, 3, 1, 2, 1, 2, 0, 0]","[0, 0, 0, 2, 0, 5, 0, 8, 1, 2, 0, 0]","['Desk', 'Dresser', 'Bookshelf', 'Table', 'TV Stand']"
"[8, 11, 3, 2, 2, 2, 3, 1, 2, 1, 1, 2, 0, 0]","[0, 0, 3, 0, 5, 0, 5, 1, 7, 1, 0, 0]","['Desk', 'Table', 'Dresser', 'TV Stand', 'Sofa']"
"[9, 9, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0]","['Lamp', 'Chair', 'Wardrobe']"
"[11, 10, 2, 2, 1, 3, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0]","['Bookshelf', 'Table', 'Desk']"
"[11, 10, 2, 3, 2, 2, 1, 3, 1, 2, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 8, 1, 5, 0, 0]","['Desk', 'Chair', 'Bed', 'Table', 'Bookshelf']"
"[12, 12, 3, 2, 2, 2, 3, 1, 2, 1, 2, 1, 1, 1]","[0, 0, 3, 0, 5, 0, 8, 0, 10, 0, 5, 1]","['Sofa', 'Dresser', 'Lamp', 'Desk', 'Bookshelf', 'Table']"
"[10, 11, 3, 2, 2, 2, 2, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 9, 0, 0, 0]","['Table', 'Dresser', 'Chair', 'Sofa', 'Desk']"
"[8, 11, 3, 1, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Bookshelf', 'Desk', 'Chair']"
"[10, 10, 3, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Sofa', 'Dresser', 'Lamp']"
"[8, 8, 3, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Desk', 'Sofa', 'Table']"
"[12, 11, 2, 3, 2, 2, 1, 3, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 8, 0, 9, 0, 0]","['Bookshelf', 'Table', 'Lamp', 'Bed', 'Chair']"
"[8, 12, 2, 2, 2, 2, 3, 1, 1, 2, 1, 1, 0, 0]","[0, 0, 2, 0, 4, 0, 7, 0, 4, 1, 0, 0]","['Dresser', 'Table', 'Bookshelf', 'Wardrobe', 'Lamp']"
"[9, 8, 2, 3, 1, 3, 3, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 7, 2, 7, 0, 0]","['Bed', 'Bookshelf', 'Dresser', 'TV Stand', 'Chair']"
"[11, 12, 3, 2, 3, 2, 3, 1, 1, 3, 1, 2, 1, 1]","[0, 0, 3, 0, 6, 0, 9, 0, 10, 0, 10, 2]","['Lamp', 'TV Stand', 'Bookshelf', 'Sofa', 'Dresser', 'Bed']"
"[9, 11, 2, 2, 3, 1, 3, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 2, 0, 5, 0, 8, 0, 0, 0, 0, 0]","['Bookshelf', 'Lamp', 'TV Stand', 'Wardrobe']"
"[10, 11, 2, 2, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 2, 0, 4, 0, 6, 0, 0, 0, 0, 0]","['Dresser', 'Lamp', 'Table', 'Wardrobe']"
"[10, 11, 3, 2, 3, 2, 3, 1, 1, 2, 2, 1, 1, 1]","[0, 0, 3, 0, 6, 0, 9, 0, 6, 1, 8, 1]","['Chair', 'TV Stand', 'Bed', 'Sofa', 'Dresser', 'Desk']"
"[11, 10, 2, 3, 1, 3, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0]","['Dresser', 'TV Stand', 'Bed']"
"[11, 12, 3, 2, 3, 2, 2, 2, 2, 2, 1, 3, 1, 2]","[0, 0, 3, 0, 6, 0, 8, 0, 10, 0, 0, 3]","['Bed', 'Wardrobe', 'Sofa', 'TV Stand', 'Desk', 'Table']"
"[11, 8, 2, 3, 1, 3, 1, 2, 1, 2, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 1, 3, 1, 5, 0, 0]","['Sofa', 'Desk', 'Dresser', 'TV Stand', 'Chair']"
"[12, 11, 2, 3, 2, 2, 1, 3, 1, 3, 1, 1, 1, 1]","[0, 0, 0, 3, 0, 5, 0, 8, 1, 5, 1, 6]","['Bookshelf', 'Bed', 'Chair', 'TV Stand', 'Lamp', 'Wardrobe']"
"[12, 10, 1, 3, 1, 3, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Dresser', 'Bookshelf']"
"[10, 9, 1, 2, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0]","['Dresser', 'Desk', 'Chair']"
"[11, 9, 2, 3, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 6, 0, 0, 0, 0]","['Wardrobe', 'Chair', 'Lamp', 'Bed']"
"[10, 11, 3, 2, 2, 2, 3, 1, 2, 1, 2, 1, 0, 0]","[0, 0, 3, 0, 5, 0, 8, 0, 5, 1, 0, 0]","['TV Stand', 'Dresser', 'Wardrobe', 'Sofa', 'Desk']"
"[8, 10, 3, 2, 3, 1, 2, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 3, 0, 6, 0, 3, 1, 5, 1, 0, 0]","['Sofa', 'Bookshelf', 'Chair', 'Desk', 'Dresser']"
"[12, 12, 3, 2, 3, 1, 3, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 3, 0, 6, 0, 9, 0, 11, 0, 0, 0]","['TV Stand', 'Bookshelf', 'Desk', 'Sofa', 'Chair']"
"[12, 10, 2, 3, 2, 3, 1, 3, 3, 1, 1, 1, 1, 1]","[0, 0, 0, 3, 0, 6, 0, 9, 1, 6, 1, 7]","['Chair', 'Lamp', 'TV Stand', 'Bed', 'Bookshelf', 'Sofa']"
"[9, 11, 3, 2, 3, 2, 2, 2, 1, 3, 3, 1, 2, 1]","[0, 0, 3, 0, 6, 0, 8, 0, 0, 2, 3, 2]","['Bed', 'Bookshelf', 'Desk', 'Sofa', 'Wardrobe', 'TV Stand']"
"[8, 12, 3, 2, 3, 1, 1, 3, 1, 2, 1, 2, 0, 0]","[0, 0, 3, 0, 6, 0, 7, 0, 7, 2, 0, 0]","['Desk', 'Dresser', 'TV Stand', 'Sofa', 'Bookshelf']"
"[11, 10, 2, 3, 2, 2, 2, 2, 1, 3, 1, 2, 2, 1]","[0, 0, 0, 3, 0, 5, 0, 7, 1, 7, 1, 9]","['Dresser', 'Bed', 'Wardrobe', 'Bookshelf', 'Table', 'Desk']"
"[12, 10, 2, 2, 1, 3, 1, 3, 1, 2, 1, 2, 1, 1]","[0, 0, 0, 2, 0, 5, 0, 8, 1, 2, 1, 4]","['Lamp', 'TV Stand', 'Dresser', 'Bookshelf', 'Wardrobe', 'Desk']"
"[9, 12, 3, 2, 3, 2, 2, 2, 1, 3, 2, 1, 0, 0]","[0, 0, 3, 0, 6, 0, 8, 0, 0, 2, 0, 0]","['Bed', 'Table', 'Sofa', 'Bookshelf', 'Dresser']"
"[9, 8, 2, 3, 2, 3, 2, 2, 3, 1, 2, 1, 1, 1]","[0, 0, 0, 3, 0, 6, 2, 0, 5, 0, 7, 0]","['Sofa', 'Bookshelf', 'Bed', 'Wardrobe', 'Dresser', 'Chair']"
"[11, 11, 2, 2, 3, 1, 3, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 2, 0, 5, 0, 8, 0, 10, 0, 0, 0]","['Table', 'TV Stand', 'Bookshelf', 'Lamp', 'Desk']"
"[12, 10, 2, 2, 1, 3, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0]","['Table', 'Dresser', 'Bookshelf']"
"[11, 9, 2, 3, 2, 2, 1, 3, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Table', 'Bed', 'Bookshelf']"
"[9, 11, 3, 2, 2, 2, 2, 2, 1, 3, 1, 2, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 8, 0, 0, 0]","['Table', 'Desk', 'Bookshelf', 'Wardrobe', 'Sofa']"
"[12, 10, 2, 3, 1, 3, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 7, 0, 0, 0, 0]","['TV Stand', 'Chair', 'Sofa', 'Lamp']"
"[10, 11, 3, 2, 2, 1, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0, 0]","['Dresser', 'Lamp', 'Sofa', 'Desk']"
"[9, 8, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0]","['Chair', 'Lamp', 'Table']"
"[12, 8, 2, 3, 2, 2, 1, 2, 2, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0]","['Desk', 'Dresser', 'Sofa', 'Wardrobe']"
"[8, 11, 3, 2, 3, 2, 2, 2, 3, 1, 3, 1, 1, 1]","[0, 0, 3, 0, 6, 0, 0, 2, 3, 2, 6, 2]","['Bed', 'Bookshelf', 'Sofa', 'TV Stand', 'Table', 'Chair']"
"[12, 8, 2, 2, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0]","['Table', 'Dresser', 'Wardrobe']"
"[9, 12, 3, 2, 2, 2, 3, 1, 1, 2, 1, 1, 0, 0]","[0, 0, 3, 0, 5, 0, 8, 0, 5, 1, 0, 0]","['Chair', 'Bookshelf', 'Sofa', 'Table', 'Desk']"
"[12, 10, 2, 3, 1, 3, 1, 2, 1, 2, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 1, 3, 0, 0]","['Bookshelf', 'Bed', 'Lamp', 'Desk', 'Dresser']"
"[11, 8, 2, 2, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Lamp', 'Desk']"
"[11, 11, 2, 3, 2, 3, 1, 3, 3, 1, 1, 1, 1, 1]","[0, 0, 0, 3, 0, 6, 0, 9, 0, 10, 1, 10]","['Bed', 'Lamp', 'Sofa', 'Bookshelf', 'Chair', 'TV Stand']"
"[10, 12, 3, 2, 2, 2, 3, 1, 1, 3, 1, 2, 1, 1]","[0, 0, 3, 0, 5, 0, 8, 0, 9, 0, 9, 2]","['TV Stand', 'Chair', 'Bookshelf', 'Desk', 'Table', 'Sofa']"
"[10, 8, 1, 3, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Dresser', 'Desk']"
"[10, 10, 2, 3, 2, 3, 1, 3, 2, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 9, 0, 0, 0, 0]","['Bed', 'TV Stand', 'Sofa', 'Desk']"
"[12, 10, 2, 3, 2, 3, 2, 2, 3, 1, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 0, 9, 0, 0]","['TV Stand', 'Wardrobe', 'Bed', 'Lamp', 'Sofa']"
"[8, 9, 3, 2, 3, 2, 2, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['Bed', 'Sofa', 'Wardrobe']"
"[10, 8, 2, 2, 1, 3, 1, 2, 2, 1, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 5, 0, 7, 0, 0, 0, 0]","['Desk', 'Table', 'Bookshelf', 'Dresser']"
"[10, 8, 2, 3, 2, 2, 1, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0]","['Dresser', 'Sofa', 'Wardrobe', 'Chair']"
"[9, 10, 3, 2, 2, 2, 3, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Sofa', 'Table', 'Bookshelf']"
"[10, 12, 3, 2, 2, 2, 2, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 9, 0, 0, 0]","['Desk', 'Lamp', 'Table', 'Dresser', 'Bed']"
"[9, 8, 2, 3, 1, 3, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0]","['Sofa', 'Bookshelf', 'Dresser']"
"[9, 11, 2, 2, 3, 1, 2, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 2, 0, 5, 0, 7, 0, 2, 1, 0, 0]","['Lamp', 'Desk', 'Wardrobe', 'Bookshelf', 'Dresser']"
"[12, 12, 3, 2, 2, 2, 3, 1, 2, 1, 1, 1, 1, 1]","[0, 0, 3, 0, 5, 0, 8, 0, 10, 0, 11, 0]","['Table', 'Desk', 'Lamp', 'Sofa', 'Chair', 'Bookshelf']"
"[10, 9, 2, 3, 2, 2, 2, 2, 3, 1, 2, 1, 1, 1]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 8, 2, 8]","['Wardrobe', 'Lamp', 'Bed', 'Bookshelf', 'Dresser', 'Table']"
"[9, 8, 2, 3, 2, 3, 2, 2, 2, 2, 3, 1, 1, 1]","[0, 0, 0, 3, 0, 6, 2, 0, 4, 0, 7, 0]","['Table', 'Sofa', 'Wardrobe', 'Chair', 'Bed', 'TV Stand']"
"[11, 9, 2, 3, 2, 3, 2, 2, 3, 1, 2, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 3, 0, 0, 0]","['Sofa', 'Bookshelf', 'Desk', 'Bed', 'Table']"
"[10, 8, 2, 3, 2, 2, 1, 3, 1, 3, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 1, 5, 0, 0, 0, 0]","['TV Stand', 'Wardrobe', 'Bookshelf', 'Bed']"
"[12, 8, 2, 3, 2, 2, 1, 3, 1, 2, 2, 1, 1, 1]","[0, 0, 0, 3, 0, 5, 1, 5, 1, 7, 2, 0]","['Table', 'Desk', 'Bed', 'TV Stand', 'Dresser', 'Chair']"
"[11, 11, 2, 3, 2, 3, 2, 2, 2, 2, 2, 1, 2, 1]","[0, 0, 0, 3, 0, 6, 0, 8, 0, 10, 2, 0]","['Wardrobe', 'Table', 'Sofa', 'Desk', 'Bed', 'Dresser']"
"[10, 12, 3, 2, 3, 2, 2, 2, 1, 3, 1, 2, 1, 1]","[0, 0, 3, 0, 6, 0, 8, 0, 9, 0, 9, 2]","['Wardrobe', 'Bed', 'Dresser', 'Chair', 'Bookshelf', 'Sofa']"
"[12, 9, 2, 3, 2, 3, 2, 2, 3, 1, 1, 2, 1, 1]","[0, 0, 0, 3, 0, 6, 0, 8, 2, 0, 2, 2]","['Sofa', 'Wardrobe', 'Chair', 'Desk', 'Bed', 'TV Stand']"
"[8, 8, 3, 2, 2, 2, 3, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Sofa', 'TV Stand']"
"[8, 8, 3, 2, 3, 2, 2, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 2, 0, 0, 0, 0]","['Wardrobe', 'Sofa', 'Bed', 'Lamp']"
"[12, 10, 2, 3, 2, 2, 1, 3, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Table', 'Bed', 'TV Stand']"
"[8, 8, 2, 2, 3, 1, 3, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 2, 0, 5, 0, 2, 1, 3, 1, 0, 0]","['Chair', 'Lamp', 'TV Stand', 'Wardrobe', 'Bookshelf']"
"[10, 10, 2, 2, 2, 2, 3, 1, 2, 1, 1, 1, 1, 1]","[0, 0, 2, 0, 4, 0, 7, 0, 9, 0, 4, 1]","['Table', 'Wardrobe', 'Lamp', 'Dresser', 'Chair', 'Bookshelf']"
"[8, 8, 3, 2, 2, 2, 3, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Sofa', 'TV Stand']"
"[8, 9, 2, 2, 3, 1, 2, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Dresser', 'Bookshelf']"
"[10, 8, 2, 3, 2, 2, 2, 2, 3, 1, 1, 1, 1, 1]","[0, 0, 0, 3, 0, 5, 0, 7, 3, 0, 2, 0]","['Bed', 'Table', 'Lamp', 'Wardrobe', 'Bookshelf', 'Chair']"
"[12, 11, 2, 3, 1, 3, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Desk', 'Sofa']"
"[10, 8, 2, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0]","['Lamp', 'Chair', 'Bed']"
"[11, 9, 2, 3, 1, 3, 1, 2, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 1, 3, 0, 0]","['Bed', 'Dresser', 'TV Stand', 'Lamp', 'Chair']"
"[12, 12, 2, 3, 2, 2, 1, 3, 1, 2, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 8, 0, 10, 0, 0]","['Dresser', 'TV Stand', 'Sofa', 'Wardrobe', 'Chair']"
"[11, 11, 2, 3, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Dresser', 'Lamp', 'Bed']"
